N;Instance;Decoder;Time Spent;Alpha
N010;51;PositionalDecoderWithVehicleByPercentage;439,03;Alpha1
N010;51;PositionalDecoderWithVehicleByPercentage;439,03;Alpha1
N010;51;PositionalDecoderWithVehicleByPercentage;439,03;Alpha1
N010;51;PositionalDecoderWithVehicleByPercentage;439,03;Alpha1
N010;51;PositionalDecoderWithVehicleByPercentage;439,03;Alpha1
N010;51;TimeDecoderWithVehicleByPercentage;358,81;Alpha1
N010;51;TimeDecoderWithVehicleByPercentage;397,18;Alpha1
N010;51;TimeDecoderWithVehicleByPercentage;395,59;Alpha1
N010;51;TimeDecoderWithVehicleByPercentage;335,18;Alpha1
N010;51;TimeDecoderWithVehicleByPercentage;330,21;Alpha1
N010;56;PositionalDecoderWithVehicleByPercentage;532,16;Alpha1
N010;56;PositionalDecoderWithVehicleByPercentage;532,16;Alpha1
N010;56;PositionalDecoderWithVehicleByPercentage;534,93;Alpha1
N010;56;PositionalDecoderWithVehicleByPercentage;532,16;Alpha1
N010;56;PositionalDecoderWithVehicleByPercentage;532,16;Alpha1
N010;56;TimeDecoderWithVehicleByPercentage;333,20;Alpha1
N010;56;TimeDecoderWithVehicleByPercentage;333,05;Alpha1
N010;56;TimeDecoderWithVehicleByPercentage;333,05;Alpha1
N010;56;TimeDecoderWithVehicleByPercentage;326,93;Alpha1
N010;56;TimeDecoderWithVehicleByPercentage;337,33;Alpha1
N010;59;PositionalDecoderWithVehicleByPercentage;536,68;Alpha1
N010;59;PositionalDecoderWithVehicleByPercentage;536,68;Alpha1
N010;59;PositionalDecoderWithVehicleByPercentage;536,68;Alpha1
N010;59;PositionalDecoderWithVehicleByPercentage;536,68;Alpha1
N010;59;PositionalDecoderWithVehicleByPercentage;536,68;Alpha1
N010;59;TimeDecoderWithVehicleByPercentage;397,31;Alpha1
N010;59;TimeDecoderWithVehicleByPercentage;413,44;Alpha1
N010;59;TimeDecoderWithVehicleByPercentage;375,49;Alpha1
N010;59;TimeDecoderWithVehicleByPercentage;375,49;Alpha1
N010;59;TimeDecoderWithVehicleByPercentage;433,38;Alpha1
N010;52;PositionalDecoderWithVehicleByPercentage;389,49;Alpha1
N010;52;PositionalDecoderWithVehicleByPercentage;389,49;Alpha1
N010;52;PositionalDecoderWithVehicleByPercentage;389,49;Alpha1
N010;52;PositionalDecoderWithVehicleByPercentage;389,49;Alpha1
N010;52;PositionalDecoderWithVehicleByPercentage;389,49;Alpha1
N010;52;TimeDecoderWithVehicleByPercentage;356,96;Alpha1
N010;52;TimeDecoderWithVehicleByPercentage;354,68;Alpha1
