N;Instance;Decoder;Time Spent;Alpha
N010;56;PositionalDecoderWithVehicleByPercentage;532,16;Alpha1
N010;56;PositionalDecoderWithVehicleByPercentage;532,16;Alpha1
N010;56;PositionalDecoderWithVehicleByPercentage;532,16;Alpha1
N010;56;PositionalDecoderWithVehicleByPercentage;532,16;Alpha1
N010;56;PositionalDecoderWithVehicleByPercentage;532,16;Alpha1
N010;56;TimeDecoderWithVehicleByPercentage;334,92;Alpha1
N010;56;TimeDecoderWithVehicleByPercentage;338,77;Alpha1
N010;56;TimeDecoderWithVehicleByPercentage;342,52;Alpha1
N010;56;TimeDecoderWithVehicleByPercentage;333,05;Alpha1
N010;56;TimeDecoderWithVehicleByPercentage;336,37;Alpha1
N010;57;PositionalDecoderWithVehicleByPercentage;394,58;Alpha1
N010;57;PositionalDecoderWithVehicleByPercentage;383,74;Alpha1
N010;57;PositionalDecoderWithVehicleByPercentage;383,74;Alpha1
N010;57;PositionalDecoderWithVehicleByPercentage;383,74;Alpha1
N010;57;PositionalDecoderWithVehicleByPercentage;383,74;Alpha1
N010;57;TimeDecoderWithVehicleByPercentage;274,43;Alpha1
N010;57;TimeDecoderWithVehicleByPercentage;274,43;Alpha1
N010;57;TimeDecoderWithVehicleByPercentage;267,55;Alpha1
N010;57;TimeDecoderWithVehicleByPercentage;319,44;Alpha1
N010;57;TimeDecoderWithVehicleByPercentage;298,99;Alpha1
N010;58;PositionalDecoderWithVehicleByPercentage;365,01;Alpha1
N010;58;PositionalDecoderWithVehicleByPercentage;365,01;Alpha1
N010;58;PositionalDecoderWithVehicleByPercentage;365,01;Alpha1
N010;58;PositionalDecoderWithVehicleByPercentage;365,01;Alpha1
N010;58;PositionalDecoderWithVehicleByPercentage;365,01;Alpha1
N010;58;TimeDecoderWithVehicleByPercentage;261,39;Alpha1
N010;58;TimeDecoderWithVehicleByPercentage;259,46;Alpha1
N010;58;TimeDecoderWithVehicleByPercentage;310,31;Alpha1
N010;58;TimeDecoderWithVehicleByPercentage;261,39;Alpha1
N010;58;TimeDecoderWithVehicleByPercentage;261,39;Alpha1
N010;51;PositionalDecoderWithVehicleByPercentage;439,03;Alpha1
N010;51;PositionalDecoderWithVehicleByPercentage;439,03;Alpha1
N010;51;PositionalDecoderWithVehicleByPercentage;439,03;Alpha1
N010;51;PositionalDecoderWithVehicleByPercentage;439,03;Alpha1
N010;51;PositionalDecoderWithVehicleByPercentage;439,03;Alpha1
N010;51;TimeDecoderWithVehicleByPercentage;391,64;Alpha1
N010;51;TimeDecoderWithVehicleByPercentage;395,30;Alpha1
N010;51;TimeDecoderWithVehicleByPercentage;397,33;Alpha1
N010;51;TimeDecoderWithVehicleByPercentage;400,11;Alpha1
N010;51;TimeDecoderWithVehicleByPercentage;388,51;Alpha1
N010;52;PositionalDecoderWithVehicleByPercentage;389,49;Alpha1
N010;52;PositionalDecoderWithVehicleByPercentage;389,49;Alpha1
N010;52;PositionalDecoderWithVehicleByPercentage;389,49;Alpha1
N010;52;PositionalDecoderWithVehicleByPercentage;389,49;Alpha1
N010;52;PositionalDecoderWithVehicleByPercentage;389,49;Alpha1
N010;52;TimeDecoderWithVehicleByPercentage;340,95;Alpha1
N010;52;TimeDecoderWithVehicleByPercentage;359,97;Alpha1
N010;52;TimeDecoderWithVehicleByPercentage;359,97;Alpha1
N010;52;TimeDecoderWithVehicleByPercentage;360,17;Alpha1
N010;52;TimeDecoderWithVehicleByPercentage;347,33;Alpha1
N010;53;PositionalDecoderWithVehicleByPercentage;510,45;Alpha1
N010;53;PositionalDecoderWithVehicleByPercentage;510,45;Alpha1
N010;53;PositionalDecoderWithVehicleByPercentage;510,45;Alpha1
N010;53;PositionalDecoderWithVehicleByPercentage;510,45;Alpha1
N010;53;PositionalDecoderWithVehicleByPercentage;510,45;Alpha1
N010;53;TimeDecoderWithVehicleByPercentage;349,59;Alpha1
N010;53;TimeDecoderWithVehicleByPercentage;355,22;Alpha1
N010;53;TimeDecoderWithVehicleByPercentage;356,00;Alpha1
N010;53;TimeDecoderWithVehicleByPercentage;349,59;Alpha1
N010;53;TimeDecoderWithVehicleByPercentage;349,59;Alpha1
N010;54;PositionalDecoderWithVehicleByPercentage;532,21;Alpha1
N010;54;PositionalDecoderWithVehicleByPercentage;532,21;Alpha1
N010;54;PositionalDecoderWithVehicleByPercentage;532,21;Alpha1
N010;54;PositionalDecoderWithVehicleByPercentage;532,21;Alpha1
N010;54;PositionalDecoderWithVehicleByPercentage;532,21;Alpha1
N010;54;TimeDecoderWithVehicleByPercentage;456,86;Alpha1
N010;54;TimeDecoderWithVehicleByPercentage;456,88;Alpha1
N010;54;TimeDecoderWithVehicleByPercentage;455,24;Alpha1
N010;54;TimeDecoderWithVehicleByPercentage;456,86;Alpha1
N010;54;TimeDecoderWithVehicleByPercentage;464,66;Alpha1
N010;55;PositionalDecoderWithVehicleByPercentage;398,00;Alpha1
N010;55;PositionalDecoderWithVehicleByPercentage;398,00;Alpha1
N010;55;PositionalDecoderWithVehicleByPercentage;398,00;Alpha1
N010;55;PositionalDecoderWithVehicleByPercentage;398,00;Alpha1
N010;55;PositionalDecoderWithVehicleByPercentage;398,00;Alpha1
N010;55;TimeDecoderWithVehicleByPercentage;355,60;Alpha1
N010;55;TimeDecoderWithVehicleByPercentage;368,16;Alpha1
N010;55;TimeDecoderWithVehicleByPercentage;378,09;Alpha1
