N;Instance;Decoder;Time Spent;Alpha
N010;56;PositionalDecoderWithVehicleByPercentage;671,44;Alpha1
N010;56;PositionalDecoderWithVehicleByPercentage;671,44;Alpha1
N010;56;PositionalDecoderWithVehicleByPercentage;671,44;Alpha1
N010;56;PositionalDecoderWithVehicleByPercentage;679,55;Alpha1
N010;56;PositionalDecoderWithVehicleByPercentage;671,44;Alpha1
N010;56;TimeDecoderWithVehicleByPercentage;621,05;Alpha1
N010;56;TimeDecoderWithVehicleByPercentage;648,54;Alpha1
N010;56;TimeDecoderWithVehicleByPercentage;648,64;Alpha1
N010;56;TimeDecoderWithVehicleByPercentage;621,05;Alpha1
N010;56;TimeDecoderWithVehicleByPercentage;651,71;Alpha1
N010;57;PositionalDecoderWithVehicleByPercentage;753,95;Alpha1
N010;57;PositionalDecoderWithVehicleByPercentage;753,95;Alpha1
N010;57;PositionalDecoderWithVehicleByPercentage;753,95;Alpha1
N010;57;PositionalDecoderWithVehicleByPercentage;753,95;Alpha1
N010;57;PositionalDecoderWithVehicleByPercentage;753,95;Alpha1
N010;57;TimeDecoderWithVehicleByPercentage;582,59;Alpha1
N010;57;TimeDecoderWithVehicleByPercentage;582,59;Alpha1
N010;57;TimeDecoderWithVehicleByPercentage;582,59;Alpha1
N010;57;TimeDecoderWithVehicleByPercentage;582,59;Alpha1
N010;57;TimeDecoderWithVehicleByPercentage;661,45;Alpha1
N010;60;PositionalDecoderWithVehicleByPercentage;874,85;Alpha1
N010;60;PositionalDecoderWithVehicleByPercentage;874,85;Alpha1
N010;60;PositionalDecoderWithVehicleByPercentage;874,85;Alpha1
N010;60;PositionalDecoderWithVehicleByPercentage;874,85;Alpha1
N010;60;PositionalDecoderWithVehicleByPercentage;874,85;Alpha1
N010;60;TimeDecoderWithVehicleByPercentage;753,48;Alpha1
N010;60;TimeDecoderWithVehicleByPercentage;798,93;Alpha1
N010;60;TimeDecoderWithVehicleByPercentage;753,48;Alpha1
N010;60;TimeDecoderWithVehicleByPercentage;781,42;Alpha1
N010;60;TimeDecoderWithVehicleByPercentage;765,15;Alpha1
N010;58;PositionalDecoderWithVehicleByPercentage;776,62;Alpha1
N010;58;PositionalDecoderWithVehicleByPercentage;776,62;Alpha1
N010;58;PositionalDecoderWithVehicleByPercentage;776,62;Alpha1
N010;58;PositionalDecoderWithVehicleByPercentage;776,62;Alpha1
N010;58;PositionalDecoderWithVehicleByPercentage;776,62;Alpha1
N010;58;TimeDecoderWithVehicleByPercentage;686,17;Alpha1
N010;58;TimeDecoderWithVehicleByPercentage;616,13;Alpha1
N010;58;TimeDecoderWithVehicleByPercentage;614,53;Alpha1
N010;58;TimeDecoderWithVehicleByPercentage;634,84;Alpha1
N010;58;TimeDecoderWithVehicleByPercentage;682,50;Alpha1
N010;59;PositionalDecoderWithVehicleByPercentage;842,20;Alpha1
N010;59;PositionalDecoderWithVehicleByPercentage;842,20;Alpha1
N010;59;PositionalDecoderWithVehicleByPercentage;842,20;Alpha1
N010;59;PositionalDecoderWithVehicleByPercentage;842,20;Alpha1
N010;59;PositionalDecoderWithVehicleByPercentage;858,94;Alpha1
N010;59;TimeDecoderWithVehicleByPercentage;726,92;Alpha1
N010;59;TimeDecoderWithVehicleByPercentage;715,49;Alpha1
N010;59;TimeDecoderWithVehicleByPercentage;726,14;Alpha1
N010;59;TimeDecoderWithVehicleByPercentage;726,14;Alpha1
N010;59;TimeDecoderWithVehicleByPercentage;699,98;Alpha1
N010;51;PositionalDecoderWithVehicleByPercentage;633,42;Alpha1
N010;51;PositionalDecoderWithVehicleByPercentage;617,98;Alpha1
N010;51;PositionalDecoderWithVehicleByPercentage;617,98;Alpha1
N010;51;PositionalDecoderWithVehicleByPercentage;617,98;Alpha1
N010;51;PositionalDecoderWithVehicleByPercentage;633,42;Alpha1
N010;51;TimeDecoderWithVehicleByPercentage;472,78;Alpha1
N010;51;TimeDecoderWithVehicleByPercentage;472,78;Alpha1
N010;51;TimeDecoderWithVehicleByPercentage;531,99;Alpha1
N010;51;TimeDecoderWithVehicleByPercentage;472,78;Alpha1
N010;51;TimeDecoderWithVehicleByPercentage;457,34;Alpha1
N010;52;PositionalDecoderWithVehicleByPercentage;474,15;Alpha1
N010;52;PositionalDecoderWithVehicleByPercentage;474,15;Alpha1
N010;52;PositionalDecoderWithVehicleByPercentage;474,15;Alpha1
N010;52;PositionalDecoderWithVehicleByPercentage;477,46;Alpha1
N010;52;PositionalDecoderWithVehicleByPercentage;474,15;Alpha1
N010;52;TimeDecoderWithVehicleByPercentage;417,57;Alpha1
N010;52;TimeDecoderWithVehicleByPercentage;410,07;Alpha1
N010;52;TimeDecoderWithVehicleByPercentage;415,60;Alpha1
N010;52;TimeDecoderWithVehicleByPercentage;432,71;Alpha1
N010;52;TimeDecoderWithVehicleByPercentage;415,48;Alpha1
N010;53;PositionalDecoderWithVehicleByPercentage;797,96;Alpha1
N010;53;PositionalDecoderWithVehicleByPercentage;797,96;Alpha1
N010;53;PositionalDecoderWithVehicleByPercentage;817,70;Alpha1
N010;53;PositionalDecoderWithVehicleByPercentage;797,96;Alpha1
N010;53;PositionalDecoderWithVehicleByPercentage;797,96;Alpha1
