N;Instance;Decoder;Time Spent;Alpha
N010;51;PositionalDecoderWithVehicleByPercentage;617,98;Alpha1
N010;51;PositionalDecoderWithVehicleByPercentage;617,98;Alpha1
N010;51;PositionalDecoderWithVehicleByPercentage;617,98;Alpha1
N010;51;PositionalDecoderWithVehicleByPercentage;617,98;Alpha1
N010;51;PositionalDecoderWithVehicleByPercentage;617,98;Alpha1
N010;51;TimeDecoderWithVehicleByPercentage;539,73;Alpha1
N010;51;TimeDecoderWithVehicleByPercentage;472,78;Alpha1
N010;51;TimeDecoderWithVehicleByPercentage;539,55;Alpha1
N010;51;TimeDecoderWithVehicleByPercentage;472,78;Alpha1
N010;51;TimeDecoderWithVehicleByPercentage;472,78;Alpha1
N010;52;PositionalDecoderWithVehicleByPercentage;474,15;Alpha1
N010;52;PositionalDecoderWithVehicleByPercentage;474,15;Alpha1
N010;52;PositionalDecoderWithVehicleByPercentage;474,15;Alpha1
N010;52;PositionalDecoderWithVehicleByPercentage;474,15;Alpha1
N010;52;PositionalDecoderWithVehicleByPercentage;474,15;Alpha1
N010;52;TimeDecoderWithVehicleByPercentage;414,27;Alpha1
N010;52;TimeDecoderWithVehicleByPercentage;412,29;Alpha1
N010;52;TimeDecoderWithVehicleByPercentage;412,29;Alpha1
N010;52;TimeDecoderWithVehicleByPercentage;410,07;Alpha1
N010;52;TimeDecoderWithVehicleByPercentage;416,62;Alpha1
N010;55;PositionalDecoderWithVehicleByPercentage;911,35;Alpha1
N010;55;PositionalDecoderWithVehicleByPercentage;911,35;Alpha1
N010;55;PositionalDecoderWithVehicleByPercentage;911,35;Alpha1
N010;55;PositionalDecoderWithVehicleByPercentage;911,35;Alpha1
N010;55;PositionalDecoderWithVehicleByPercentage;911,35;Alpha1
N010;55;TimeDecoderWithVehicleByPercentage;686,34;Alpha1
N010;55;TimeDecoderWithVehicleByPercentage;723,40;Alpha1
N010;55;TimeDecoderWithVehicleByPercentage;704,39;Alpha1
N010;55;TimeDecoderWithVehicleByPercentage;686,34;Alpha1
N010;55;TimeDecoderWithVehicleByPercentage;723,40;Alpha1
N010;56;PositionalDecoderWithVehicleByPercentage;671,44;Alpha1
N010;56;PositionalDecoderWithVehicleByPercentage;671,44;Alpha1
N010;56;PositionalDecoderWithVehicleByPercentage;671,44;Alpha1
N010;56;PositionalDecoderWithVehicleByPercentage;671,44;Alpha1
N010;56;PositionalDecoderWithVehicleByPercentage;671,44;Alpha1
N010;56;TimeDecoderWithVehicleByPercentage;662,06;Alpha1
N010;56;TimeDecoderWithVehicleByPercentage;621,05;Alpha1
N010;56;TimeDecoderWithVehicleByPercentage;621,05;Alpha1
N010;56;TimeDecoderWithVehicleByPercentage;648,54;Alpha1
N010;56;TimeDecoderWithVehicleByPercentage;621,05;Alpha1
N010;59;PositionalDecoderWithVehicleByPercentage;842,20;Alpha1
N010;59;PositionalDecoderWithVehicleByPercentage;842,20;Alpha1
N010;59;PositionalDecoderWithVehicleByPercentage;842,20;Alpha1
N010;59;PositionalDecoderWithVehicleByPercentage;842,20;Alpha1
N010;59;PositionalDecoderWithVehicleByPercentage;842,20;Alpha1
N010;59;TimeDecoderWithVehicleByPercentage;719,41;Alpha1
N010;59;TimeDecoderWithVehicleByPercentage;719,41;Alpha1
N010;59;TimeDecoderWithVehicleByPercentage;726,92;Alpha1
N010;59;TimeDecoderWithVehicleByPercentage;715,49;Alpha1
N010;59;TimeDecoderWithVehicleByPercentage;715,49;Alpha1
N010;60;PositionalDecoderWithVehicleByPercentage;874,85;Alpha1
N010;60;PositionalDecoderWithVehicleByPercentage;874,85;Alpha1
N010;60;PositionalDecoderWithVehicleByPercentage;874,85;Alpha1
N010;60;PositionalDecoderWithVehicleByPercentage;874,85;Alpha1
N010;60;PositionalDecoderWithVehicleByPercentage;874,85;Alpha1
N010;60;TimeDecoderWithVehicleByPercentage;786,97;Alpha1
N010;60;TimeDecoderWithVehicleByPercentage;789,46;Alpha1
N010;60;TimeDecoderWithVehicleByPercentage;765,15;Alpha1
N010;60;TimeDecoderWithVehicleByPercentage;781,71;Alpha1
N010;60;TimeDecoderWithVehicleByPercentage;798,70;Alpha1
N010;53;PositionalDecoderWithVehicleByPercentage;797,96;Alpha1
N010;53;PositionalDecoderWithVehicleByPercentage;797,96;Alpha1
N010;53;PositionalDecoderWithVehicleByPercentage;797,96;Alpha1
N010;53;PositionalDecoderWithVehicleByPercentage;797,96;Alpha1
N010;53;PositionalDecoderWithVehicleByPercentage;797,96;Alpha1
N010;53;TimeDecoderWithVehicleByPercentage;623,14;Alpha1
N010;53;TimeDecoderWithVehicleByPercentage;702,76;Alpha1
N010;53;TimeDecoderWithVehicleByPercentage;623,14;Alpha1
N010;53;TimeDecoderWithVehicleByPercentage;620,09;Alpha1
N010;53;TimeDecoderWithVehicleByPercentage;623,14;Alpha1
N010;54;PositionalDecoderWithVehicleByPercentage;596,77;Alpha1
N010;54;PositionalDecoderWithVehicleByPercentage;596,77;Alpha1
N010;54;PositionalDecoderWithVehicleByPercentage;596,77;Alpha1
N010;54;PositionalDecoderWithVehicleByPercentage;596,77;Alpha1
N010;54;PositionalDecoderWithVehicleByPercentage;596,77;Alpha1
N010;54;TimeDecoderWithVehicleByPercentage;490,71;Alpha1
N010;54;TimeDecoderWithVehicleByPercentage;492,12;Alpha1
N010;54;TimeDecoderWithVehicleByPercentage;490,71;Alpha1
N010;54;TimeDecoderWithVehicleByPercentage;492,12;Alpha1
N010;54;TimeDecoderWithVehicleByPercentage;489,54;Alpha1
N010;57;PositionalDecoderWithVehicleByPercentage;753,95;Alpha1
N010;57;PositionalDecoderWithVehicleByPercentage;753,95;Alpha1
N010;57;PositionalDecoderWithVehicleByPercentage;753,95;Alpha1
N010;57;PositionalDecoderWithVehicleByPercentage;753,95;Alpha1
N010;57;PositionalDecoderWithVehicleByPercentage;753,95;Alpha1
N010;57;TimeDecoderWithVehicleByPercentage;630,88;Alpha1
N010;57;TimeDecoderWithVehicleByPercentage;615,94;Alpha1
N010;57;TimeDecoderWithVehicleByPercentage;582,51;Alpha1
N010;57;TimeDecoderWithVehicleByPercentage;582,51;Alpha1
N010;57;TimeDecoderWithVehicleByPercentage;582,59;Alpha1
N010;58;PositionalDecoderWithVehicleByPercentage;776,62;Alpha1
N010;58;PositionalDecoderWithVehicleByPercentage;776,62;Alpha1
N010;58;PositionalDecoderWithVehicleByPercentage;776,62;Alpha1
N010;58;PositionalDecoderWithVehicleByPercentage;776,62;Alpha1
N010;58;PositionalDecoderWithVehicleByPercentage;776,62;Alpha1
N010;58;TimeDecoderWithVehicleByPercentage;679,42;Alpha1
N010;58;TimeDecoderWithVehicleByPercentage;616,14;Alpha1
N010;58;TimeDecoderWithVehicleByPercentage;613,88;Alpha1
N010;58;TimeDecoderWithVehicleByPercentage;616,13;Alpha1
N010;58;TimeDecoderWithVehicleByPercentage;616,14;Alpha1
N020;62;PositionalDecoderWithVehicleByPercentage;845,38;Alpha1
N020;62;PositionalDecoderWithVehicleByPercentage;835,11;Alpha1
N020;62;PositionalDecoderWithVehicleByPercentage;845,38;Alpha1
N020;62;PositionalDecoderWithVehicleByPercentage;843,20;Alpha1
N020;62;PositionalDecoderWithVehicleByPercentage;839,26;Alpha1
N020;62;TimeDecoderWithVehicleByPercentage;790,79;Alpha1
N020;62;TimeDecoderWithVehicleByPercentage;797,97;Alpha1
N020;62;TimeDecoderWithVehicleByPercentage;765,93;Alpha1
N020;62;TimeDecoderWithVehicleByPercentage;739,54;Alpha1
N020;62;TimeDecoderWithVehicleByPercentage;813,48;Alpha1
N020;67;PositionalDecoderWithVehicleByPercentage;831,31;Alpha1
N020;67;PositionalDecoderWithVehicleByPercentage;856,43;Alpha1
N020;67;PositionalDecoderWithVehicleByPercentage;856,59;Alpha1
N020;67;PositionalDecoderWithVehicleByPercentage;833,00;Alpha1
N020;67;PositionalDecoderWithVehicleByPercentage;831,31;Alpha1
N020;67;TimeDecoderWithVehicleByPercentage;693,35;Alpha1
N020;67;TimeDecoderWithVehicleByPercentage;1078,75;Alpha1
N020;67;TimeDecoderWithVehicleByPercentage;764,92;Alpha1
N020;67;TimeDecoderWithVehicleByPercentage;804,23;Alpha1
N020;67;TimeDecoderWithVehicleByPercentage;746,34;Alpha1
N020;68;PositionalDecoderWithVehicleByPercentage;795,72;Alpha1
N020;68;PositionalDecoderWithVehicleByPercentage;747,66;Alpha1
N020;68;PositionalDecoderWithVehicleByPercentage;810,23;Alpha1
N020;68;PositionalDecoderWithVehicleByPercentage;782,18;Alpha1
N020;68;PositionalDecoderWithVehicleByPercentage;814,95;Alpha1
N020;68;TimeDecoderWithVehicleByPercentage;739,93;Alpha1
N020;68;TimeDecoderWithVehicleByPercentage;716,71;Alpha1
N020;68;TimeDecoderWithVehicleByPercentage;701,84;Alpha1
N020;68;TimeDecoderWithVehicleByPercentage;741,35;Alpha1
N020;68;TimeDecoderWithVehicleByPercentage;764,70;Alpha1
N020;69;PositionalDecoderWithVehicleByPercentage;787,91;Alpha1
N020;69;PositionalDecoderWithVehicleByPercentage;777,43;Alpha1
