N;Instance;Decoder;Time Spent;Alpha
N010;57;PositionalAgatzDecoderWithVehicleByPercentage;753,95;Alpha1
N010;57;PositionalAgatzDecoderWithVehicleByPercentage;753,95;Alpha1
N010;57;PositionalAgatzDecoderWithVehicleByPercentage;753,95;Alpha1
N010;57;PositionalAgatzDecoderWithVehicleByPercentage;753,95;Alpha1
N010;57;PositionalAgatzDecoderWithVehicleByPercentage;753,95;Alpha1
N010;57;PositionalAgatzDecoderWithVehicleByPercentage;753,95;Alpha1
N010;57;PositionalAgatzDecoderWithVehicleByPercentage;753,95;Alpha1
N010;57;PositionalAgatzDecoderWithVehicleByPercentage;753,95;Alpha1
N010;57;PositionalAgatzDecoderWithVehicleByPercentage;753,95;Alpha1
N010;57;PositionalAgatzDecoderWithVehicleByPercentage;753,95;Alpha1
N010;58;PositionalAgatzDecoderWithVehicleByPercentage;776,62;Alpha1
N010;58;PositionalAgatzDecoderWithVehicleByPercentage;776,62;Alpha1
N010;58;PositionalAgatzDecoderWithVehicleByPercentage;776,62;Alpha1
N010;58;PositionalAgatzDecoderWithVehicleByPercentage;776,62;Alpha1
N010;58;PositionalAgatzDecoderWithVehicleByPercentage;776,62;Alpha1
N010;58;PositionalAgatzDecoderWithVehicleByPercentage;776,62;Alpha1
N010;58;PositionalAgatzDecoderWithVehicleByPercentage;776,62;Alpha1
N010;58;PositionalAgatzDecoderWithVehicleByPercentage;776,62;Alpha1
N010;58;PositionalAgatzDecoderWithVehicleByPercentage;776,62;Alpha1
N010;58;PositionalAgatzDecoderWithVehicleByPercentage;776,62;Alpha1
N010;52;PositionalAgatzDecoderWithVehicleByPercentage;477,46;Alpha1
N010;52;PositionalAgatzDecoderWithVehicleByPercentage;474,15;Alpha1
N010;52;PositionalAgatzDecoderWithVehicleByPercentage;474,15;Alpha1
N010;52;PositionalAgatzDecoderWithVehicleByPercentage;474,15;Alpha1
N010;52;PositionalAgatzDecoderWithVehicleByPercentage;480,48;Alpha1
N010;52;PositionalAgatzDecoderWithVehicleByPercentage;474,15;Alpha1
N010;52;PositionalAgatzDecoderWithVehicleByPercentage;474,15;Alpha1
N010;52;PositionalAgatzDecoderWithVehicleByPercentage;480,48;Alpha1
N010;52;PositionalAgatzDecoderWithVehicleByPercentage;474,15;Alpha1
N010;52;PositionalAgatzDecoderWithVehicleByPercentage;474,15;Alpha1
N010;53;PositionalAgatzDecoderWithVehicleByPercentage;797,96;Alpha1
N010;53;PositionalAgatzDecoderWithVehicleByPercentage;797,96;Alpha1
N010;53;PositionalAgatzDecoderWithVehicleByPercentage;817,70;Alpha1
N010;53;PositionalAgatzDecoderWithVehicleByPercentage;797,96;Alpha1
N010;53;PositionalAgatzDecoderWithVehicleByPercentage;797,96;Alpha1
N010;53;PositionalAgatzDecoderWithVehicleByPercentage;797,96;Alpha1
N010;53;PositionalAgatzDecoderWithVehicleByPercentage;797,96;Alpha1
N010;53;PositionalAgatzDecoderWithVehicleByPercentage;797,96;Alpha1
N010;53;PositionalAgatzDecoderWithVehicleByPercentage;817,70;Alpha1
N010;53;PositionalAgatzDecoderWithVehicleByPercentage;797,96;Alpha1
N010;55;PositionalAgatzDecoderWithVehicleByPercentage;911,35;Alpha1
N010;55;PositionalAgatzDecoderWithVehicleByPercentage;911,35;Alpha1
N010;55;PositionalAgatzDecoderWithVehicleByPercentage;911,35;Alpha1
N010;55;PositionalAgatzDecoderWithVehicleByPercentage;911,35;Alpha1
N010;55;PositionalAgatzDecoderWithVehicleByPercentage;911,35;Alpha1
N010;55;PositionalAgatzDecoderWithVehicleByPercentage;911,35;Alpha1
N010;55;PositionalAgatzDecoderWithVehicleByPercentage;911,35;Alpha1
N010;55;PositionalAgatzDecoderWithVehicleByPercentage;911,35;Alpha1
N010;55;PositionalAgatzDecoderWithVehicleByPercentage;911,35;Alpha1
N010;55;PositionalAgatzDecoderWithVehicleByPercentage;911,35;Alpha1
N010;56;PositionalAgatzDecoderWithVehicleByPercentage;671,44;Alpha1
N010;56;PositionalAgatzDecoderWithVehicleByPercentage;671,44;Alpha1
N010;56;PositionalAgatzDecoderWithVehicleByPercentage;671,44;Alpha1
N010;56;PositionalAgatzDecoderWithVehicleByPercentage;671,44;Alpha1
N010;56;PositionalAgatzDecoderWithVehicleByPercentage;671,44;Alpha1
N010;56;PositionalAgatzDecoderWithVehicleByPercentage;671,44;Alpha1
N010;56;PositionalAgatzDecoderWithVehicleByPercentage;671,44;Alpha1
N010;56;PositionalAgatzDecoderWithVehicleByPercentage;671,44;Alpha1
N010;56;PositionalAgatzDecoderWithVehicleByPercentage;671,44;Alpha1
N010;56;PositionalAgatzDecoderWithVehicleByPercentage;671,44;Alpha1
N010;59;PositionalAgatzDecoderWithVehicleByPercentage;842,20;Alpha1
N010;59;PositionalAgatzDecoderWithVehicleByPercentage;842,20;Alpha1
N010;59;PositionalAgatzDecoderWithVehicleByPercentage;842,20;Alpha1
N010;59;PositionalAgatzDecoderWithVehicleByPercentage;842,20;Alpha1
N010;59;PositionalAgatzDecoderWithVehicleByPercentage;842,20;Alpha1
N010;59;PositionalAgatzDecoderWithVehicleByPercentage;842,20;Alpha1
N010;59;PositionalAgatzDecoderWithVehicleByPercentage;842,20;Alpha1
N010;59;PositionalAgatzDecoderWithVehicleByPercentage;842,20;Alpha1
N010;59;PositionalAgatzDecoderWithVehicleByPercentage;842,20;Alpha1
N010;59;PositionalAgatzDecoderWithVehicleByPercentage;842,20;Alpha1
N010;60;PositionalAgatzDecoderWithVehicleByPercentage;874,85;Alpha1
N010;60;PositionalAgatzDecoderWithVehicleByPercentage;874,85;Alpha1
N010;60;PositionalAgatzDecoderWithVehicleByPercentage;874,85;Alpha1
N010;60;PositionalAgatzDecoderWithVehicleByPercentage;874,85;Alpha1
N010;60;PositionalAgatzDecoderWithVehicleByPercentage;874,85;Alpha1
N010;60;PositionalAgatzDecoderWithVehicleByPercentage;874,85;Alpha1
N010;60;PositionalAgatzDecoderWithVehicleByPercentage;874,85;Alpha1
N010;60;PositionalAgatzDecoderWithVehicleByPercentage;874,85;Alpha1
N010;60;PositionalAgatzDecoderWithVehicleByPercentage;874,85;Alpha1
N010;60;PositionalAgatzDecoderWithVehicleByPercentage;874,85;Alpha1
N010;51;PositionalAgatzDecoderWithVehicleByPercentage;617,98;Alpha1
N010;51;PositionalAgatzDecoderWithVehicleByPercentage;617,98;Alpha1
N010;51;PositionalAgatzDecoderWithVehicleByPercentage;617,98;Alpha1
N010;51;PositionalAgatzDecoderWithVehicleByPercentage;617,98;Alpha1
N010;51;PositionalAgatzDecoderWithVehicleByPercentage;617,98;Alpha1
N010;51;PositionalAgatzDecoderWithVehicleByPercentage;617,98;Alpha1
N010;51;PositionalAgatzDecoderWithVehicleByPercentage;617,98;Alpha1
N010;51;PositionalAgatzDecoderWithVehicleByPercentage;617,98;Alpha1
N010;51;PositionalAgatzDecoderWithVehicleByPercentage;617,98;Alpha1
N010;51;PositionalAgatzDecoderWithVehicleByPercentage;617,98;Alpha1
N010;54;PositionalAgatzDecoderWithVehicleByPercentage;596,77;Alpha1
N010;54;PositionalAgatzDecoderWithVehicleByPercentage;596,77;Alpha1
N010;54;PositionalAgatzDecoderWithVehicleByPercentage;596,77;Alpha1
N010;54;PositionalAgatzDecoderWithVehicleByPercentage;596,77;Alpha1
N010;54;PositionalAgatzDecoderWithVehicleByPercentage;596,77;Alpha1
N010;54;PositionalAgatzDecoderWithVehicleByPercentage;596,77;Alpha1
N010;54;PositionalAgatzDecoderWithVehicleByPercentage;596,77;Alpha1
N010;54;PositionalAgatzDecoderWithVehicleByPercentage;596,77;Alpha1
N010;54;PositionalAgatzDecoderWithVehicleByPercentage;596,77;Alpha1
N010;54;PositionalAgatzDecoderWithVehicleByPercentage;596,77;Alpha1
N020;65;PositionalAgatzDecoderWithVehicleByPercentage;799,72;Alpha1
N020;65;PositionalAgatzDecoderWithVehicleByPercentage;829,97;Alpha1
N020;65;PositionalAgatzDecoderWithVehicleByPercentage;762,26;Alpha1
N020;65;PositionalAgatzDecoderWithVehicleByPercentage;812,59;Alpha1
N020;65;PositionalAgatzDecoderWithVehicleByPercentage;769,90;Alpha1
N020;65;PositionalAgatzDecoderWithVehicleByPercentage;757,51;Alpha1
N020;65;PositionalAgatzDecoderWithVehicleByPercentage;959,96;Alpha1
N020;65;PositionalAgatzDecoderWithVehicleByPercentage;798,97;Alpha1
N020;65;PositionalAgatzDecoderWithVehicleByPercentage;758,22;Alpha1
N020;65;PositionalAgatzDecoderWithVehicleByPercentage;757,51;Alpha1
N020;67;PositionalAgatzDecoderWithVehicleByPercentage;837,01;Alpha1
N020;67;PositionalAgatzDecoderWithVehicleByPercentage;791,26;Alpha1
N020;67;PositionalAgatzDecoderWithVehicleByPercentage;791,26;Alpha1
N020;67;PositionalAgatzDecoderWithVehicleByPercentage;911,37;Alpha1
N020;67;PositionalAgatzDecoderWithVehicleByPercentage;835,07;Alpha1
N020;67;PositionalAgatzDecoderWithVehicleByPercentage;791,26;Alpha1
N020;67;PositionalAgatzDecoderWithVehicleByPercentage;791,26;Alpha1
N020;67;PositionalAgatzDecoderWithVehicleByPercentage;791,26;Alpha1
N020;67;PositionalAgatzDecoderWithVehicleByPercentage;831,31;Alpha1
N020;67;PositionalAgatzDecoderWithVehicleByPercentage;831,31;Alpha1
N020;68;PositionalAgatzDecoderWithVehicleByPercentage;803,30;Alpha1
N020;68;PositionalAgatzDecoderWithVehicleByPercentage;747,66;Alpha1
N020;68;PositionalAgatzDecoderWithVehicleByPercentage;803,30;Alpha1
N020;68;PositionalAgatzDecoderWithVehicleByPercentage;769,30;Alpha1
N020;68;PositionalAgatzDecoderWithVehicleByPercentage;771,20;Alpha1
N020;68;PositionalAgatzDecoderWithVehicleByPercentage;785,60;Alpha1
N020;68;PositionalAgatzDecoderWithVehicleByPercentage;794,52;Alpha1
N020;68;PositionalAgatzDecoderWithVehicleByPercentage;798,30;Alpha1
N020;68;PositionalAgatzDecoderWithVehicleByPercentage;801,93;Alpha1
N020;68;PositionalAgatzDecoderWithVehicleByPercentage;790,23;Alpha1
N020;69;PositionalAgatzDecoderWithVehicleByPercentage;785,44;Alpha1
N020;69;PositionalAgatzDecoderWithVehicleByPercentage;788,59;Alpha1
N020;69;PositionalAgatzDecoderWithVehicleByPercentage;791,85;Alpha1
N020;69;PositionalAgatzDecoderWithVehicleByPercentage;785,44;Alpha1
N020;69;PositionalAgatzDecoderWithVehicleByPercentage;785,44;Alpha1
N020;69;PositionalAgatzDecoderWithVehicleByPercentage;791,85;Alpha1
N020;69;PositionalAgatzDecoderWithVehicleByPercentage;800,74;Alpha1
N020;69;PositionalAgatzDecoderWithVehicleByPercentage;799,86;Alpha1
N020;69;PositionalAgatzDecoderWithVehicleByPercentage;785,44;Alpha1
N020;69;PositionalAgatzDecoderWithVehicleByPercentage;787,91;Alpha1
N020;63;PositionalAgatzDecoderWithVehicleByPercentage;981,29;Alpha1
N020;63;PositionalAgatzDecoderWithVehicleByPercentage;1063,95;Alpha1
N020;63;PositionalAgatzDecoderWithVehicleByPercentage;1110,40;Alpha1
N020;63;PositionalAgatzDecoderWithVehicleByPercentage;1057,76;Alpha1
