dep;0.5599138104655044;0.05991707070433183;0
loc1;84.0;17.0;1
loc2;66.0;74.0;1
loc3;86.0;39.0;1
loc4;11.0;67.0;1
loc5;14.0;37.0;1
loc6;25.0;81.0;1
loc7;21.0;97.0;1
loc8;10.0;96.0;1
loc9;69.0;73.0;1
loc10;32.0;62.0;1
loc11;55.0;98.0;1
loc12;79.0;5.0;1
loc13;93.0;56.0;1
loc14;54.0;19.0;1
loc15;83.0;64.0;1
loc16;11.0;95.0;1
loc17;27.0;11.0;1
loc18;17.0;24.0;1
loc19;0.0;64.0;1
loc20;6.0;4.0;1
loc21;36.0;25.0;1
loc22;55.0;19.0;1
loc23;97.0;66.0;1
loc24;43.0;70.0;1
loc25;22.0;0.0;1
loc26;97.0;79.0;1
loc27;79.0;50.0;1
loc28;6.0;79.0;1
loc29;66.0;39.0;1
loc30;66.0;68.0;1
loc31;78.0;99.0;1
loc32;92.0;0.0;1
loc33;94.0;91.0;1
loc34;61.0;98.0;1
loc35;80.0;72.0;1
loc36;58.0;4.0;1
loc37;88.0;8.0;1
loc38;21.0;38.0;1
loc39;31.0;53.0;1
loc40;37.0;27.0;1
loc41;69.0;51.0;1
loc42;44.0;51.0;1
loc43;66.0;73.0;1
loc44;23.0;13.0;1
loc45;54.0;51.0;1
loc46;29.0;47.0;1
loc47;65.0;23.0;1
loc48;64.0;27.0;1
loc49;90.0;45.0;1
